Genus,Herbarium,collection,species,leaf_tot,juga,stip_dist,stip_scar_length,pet_length,lateral_petiolules,basal_petiolule ,termil_petiolule,acumen_length,basal_lft_L,basal_lft_W,basal_L_widest_point,lateral_lft_L ,lateral_lft_W,lateral_L_widest_point,termil_lft_L,termil_lft_W,termil_L_widest_point,2o_vein_pairs
Canarium,NYBG,CR827,compressum,324.3,4,0,6.88,70.39,10.63,9.98,28.64,13.11,67.39,36.73,19.75,121.53,49.15,34.44,122.67,58.54,45.75,18
Canarium,NYBG,D13103,egregium,333.82,7,2.53,2.81,71.57,14.78,,23.08,8.01,,,,111.7,37.87,31.74,106.65,42.11,45.81,16
Canarium,NYBG,D13103,egregium,429.19,7,3.34,3.56,60.71,9.08,,,10.31,,,,118.4,50.75,40.25,,,,18
Canarium,NYBG,ZB210,egregium,300.65,8,7.55,2.44,77.91,13.49,10.26,23.62,12.24,,,,90.06,40.71,36.25,99.99,37.26,35.09,16
Canarium,NYBG,ZB210,egregium,282.93,7,5.62,2.12,51.02,14.01,,19.87,10.05,,,,84.83,40.2,32.45,85.28,44.3,27.97,15
Canarium,NYBG,D13098,egregium,736.36,7,7.39,3.56,132.85,32.59,28.49,64.49,15.67,110.11,58.05,33.25,187.54,62.02,44.25,91.78,34.92,33.82,19
Canarium,NYBG,D13098,egregium,414.74,7,5.83,2.35,115.89,20.67,15.46,42.83,12.64,66.25,41.65,25.86,122.19,41.87,36.68,189.66,64.7,52.92,18
Canarium,NYBG,D13096,egregium,514.08,7,4.36,2.83,71.25,19.1,12.22,40.46,20.95,65.85,33.48,20.52,169.73,65.29,45.76,154.1,64.12,50.69,20
Canarium,NYBG,P834,egregium,344.16,7,4.53,2.93,82.39,13.41,10.05,,24.27,97.37,32.5,24.84,128.11,40.85,44.42,,,,17
Canarium,NYBG,D13101,galokense,362.8,3,10.82,1.77,68.54,19.85,15.45,21.68,6.74,84.79,53.3,30.24,119.5,59.15,33.99,119.41,52.48,55.03,14
Canarium,NYBG,D13101,galokense,449.31,5,11.16,2.18,75.99,18.4,12.38,38.33,9.1,86.26,47.42,28.59,127.35,37.39,33,141.3,53.9,55.23,15
Canarium,NYBG,D13100,galokense,261.49,5,6.47,2.53,42.75,15.28,9.11,28.9,7.89,53.69,35.72,17.65,98.85,33.56,23.05,88.29,38.51,39.96,14
Canarium,NYBG,D13100,galokense,244.75,5,5.79,2.79,31.68,12.76,11.89,18.39,9.24,73.65,42.2,25.49,101.89,36.94,26.15,82.66,30.11,39.03,13
Canarium,NYBG,MC600,galokense,193.75,3,10.95,2.77,40.19,13.97,9.24,28.76,7.2,56.84,23.77,11.67,101.1,39.1,29.6,86.63,38.2,38.19,12
Canarium,NYBG,SF155,galokense,364.37,4,10.48,2.98,120.48,10.93,6.36,,10.38,67.71,25.66,24.91,121.52,29.55,23.73,,,,14
Canarium,NYBG,SF155,galokense,372.66,5,10.91,2.89,132.67,10.7,6.98,,9.54,86.75,31.27,38.88,136.46,31.36,43.09,,,,15
Canarium,NYBG,TT99,globosum,160.93,4,24.99,1.06,39.22,7.3,4.81,15.34,1.77,27.08,16.92,13,48.43,23.56,25.72,49.72,22.74,22.34,8
Canarium,NYBG,TT99,globosum,83.33,2,16.78,1.77,18.18,7.22,6.37,14.82,1.69,39.46,21.27,17.22,39.28,19.9,20.44,29.44,15.39,16.23,8
Canarium,NYBG,SF61,globosum,195.77,4,17.93,1.1,45.93,8.05,3.69,18.25,1.37,35.07,19.79,18.53,62.43,22.1,28.59,56.52,21.64,35.75,9
Canarium,NYBG,SF61,globosum,232.67,5,18.52,1.12,43.35,9.37,5.09,22.23,1.95,30.77,26.62,16.46,63.97,30.43,40.21,58.99,27.3,39.34,10
Canarium,NYBG,SF61,globosum,229.65,5,12.66,1.32,51.98,8.62,3.99,21.9,2.07,22.98,21.86,12.17,71.7,25.72,36.92,55.79,25.06,34.68,10
Canarium,NYBG,D12967,globosum,160.2,3,11.75,1.99,37.98,11.01,6.95,21.75,0,26.44,23.14,20.74,48.75,25.7,34.16,51.5,30.36,35.51,10
Canarium,NYBG,D12967,globosum,189.65,3,18.09,2.54,47.97,14.3,10.52,40.11,0,43.54,30.79,25.36,84.15,43.21,60.45,74,34.08,54.46,11
Canarium,NYBG,SF200,globosum,210.92,4,13.39,1.76,31.14,8.2,4.89,27.58,2,36.97,22.12,22.71,68.84,28.07,38.22,62.18,28.94,37.65,9
Canarium,NYBG,SF200,globosum,196.98,4,13.5,1.92,30.46,9.3,6.01,30.67,1.3,51.79,26.66,38.69,69.2,30,44.94,52.68,31.92,32.46,11
Canarium,NYBG,SF200,globosum,217.37,3,10.9,1.65,35.02,8.24,2.99,31.43,1.48,17.18,11.55,10.27,56.33,23.99,29.44,51.77,31.13,34.56,10
Canarium,NYBG,SF209,globosum,208.55,3,14.52,1.75,31.69,10.5,5.45,19.18,3.5,30.45,19.45,14.35,56.63,23.16,31.92,57.36,26.21,25.81,11
Canarium,NYBG,SF209,globosum,218.97,4,10.5,2.25,52.83,7.9,4.94,19.17,2.79,41.07,23.97,23.52,57.24,27.13,23.92,56.78,27.58,28.26,10
Canarium,NYBG,SF209,globosum,229.02,5,13.99,2.13,44.41,7.46,4.44,14.62,2.67,43.53,32.89,20.1,67.36,42.1,51.21,69.46,37.51,38.34,11
Canarium,NYBG,D12963,elegans,147.46,2,8.75,1.46,42.96,11.78,8.61,22.82,2.27,35.66,19.34,17.83,65.65,27.77,42.97,66.22,28.23,44.18,7
Canarium,NYBG,D12963,elegans,164.8,2,8.6,1.62,42.95,6.73,7.34,23.27,2.68,46.58,28.61,22.79,65.92,25.93,44.53,66.29,26.18,44.97,9
Canarium,NYBG,D12963,elegans,156.07,3,10.73,1.82,43.22,11.02,5.19,14.56,2.25,31.15,16.91,14.06,54.25,18.03,34.26,56.89,19.06,36.52,8
Canarium,NYBG,D13024,elegans,166.1,3,10.99,2.13,32.43,9.62,8.83,25.71,3.35,50.31,27.73,29.62,62.48,27.07,30.31,91.14,28.08,46.28,8
Canarium,NYBG,D13024,elegans,216.7,2,12.46,1.68,54.73,12.21,9.83,28.19,2.78,81.64,24.79,34.09,100.29,28.26,42.6,71.96,24.84,46.19,9
Canarium,NYBG,V122,elegans,239.14,2,17.36,1.95,69.86,14.32,12.07,45.94,5.28,64.08,28.68,23.43,108.74,36.15,46.65,85.55,38.05,42.03,10
Canarium,NYBG,V122,elegans,264.84,3,19.39,2.06,61.02,20.67,12.66,27.54,6.73,71.87,35.04,32.47,100.99,31.66,47.47,94.2,34.02,45.28,10
Canarium,NYBG,GM17118,elegans,169.99,2,10.34,1.85,53.37,15.45,11.61,26.84,3.02,47.48,21.27,26.35,59.85,18.87,32.27,54.48,21.27,32.93,8
Canarium,NYBG,GM17118,elegans,130.98,1,5.84,1.16,41.97,9.11,,21.84,2.41,47.93,22.48,24.73,,,,60.52,25.78,40.69,9
Canarium,NYBG,PA514,elegans,292.48,3,22.39,2.54,62.99,18.16,15.36,43.54,2.98,64.83,36.15,42.49,97.6,36.09,69.27,93.93,35.17,54.85,11
Canarium,NYBG,PA514,elegans,250.01,3,18.33,1.94,57.12,18.31,16.07,22.04,2.71,54.8,27.14,30.16,98.91,34.36,60.55,95.88,38.51,61.52,11
Canarium,NYBG,D13063,lamianum,209.71,4,8.8,2.76,43.23,12.13,8.38,25.23,3,40.38,26.78,19.1,67.27,22.98,40.99,64.11,24.25,37.95,10
Canarium,NYBG,D13063,lamianum,244.81,4,11.37,2.33,58.01,12.52,9.03,23.73,3.32,50.47,32.93,24.28,70.95,28.56,44.67,58.08,21.25,36.71,11
Canarium,NYBG,TT109,lamianum,242.58,3,7.59,2.82,54.16,12.4,7.41,27.81,5.76,45.55,37.05,17.62,73.76,38.45,41.21,64.92,40.24,42.88,10
Canarium,NYBG,TT109,lamianum,221.31,3,9.66,2.3,57.39,9.13,6.83,26.61,6.29,38.3,23.83,15.86,81.5,30.32,46.97,69.19,41.77,46.87,11
Canarium,NYBG,TT109,lamianum,155.89,3,8.29,2.47,40.44,7.37,5.53,20.36,5.13,32.77,18.79,12.64,57.66,25.64,30.19,51.25,25.04,33.38,11
Canarium,NYBG,TT19,lamianum,230.86,4,6.62,2.23,39.3,11.27,7.14,27.52,6.63,45.76,24.91,23.78,84.12,29.34,52.03,64.1,26.63,40.55,11
Canarium,NYBG,TT19,lamianum,235.87,4,9.36,2.59,46.88,10.76,6.76,24.68,7.07,45.95,22.22,24.89,92.11,31.91,51.9,73.91,32.59,47.18,11
Canarium,NYBG,SF160,lamianum,265.96,7,4.26,2.12,54.05,8.47,3.79,20.31,4.83,31.4,14.81,15.08,82.62,25.16,37.41,50.38,24.91,28.22,12
Canarium,NYBG,SF160,lamianum,209.47,6,3.46,2.44,35.76,6.2,1.07,16.53,4.59,10.71,5.18,5.18,60.94,17.4,27.33,44.67,19.89,21.44,11
Canarium,NYBG,SF327,lamianum,254.92,3,5.92,2.4,50.7,10.94,5.87,25.96,6.14,52.03,31.77,23.91,77.47,35.96,49.45,71.17,35.39,40.09,10
Canarium,NYBG,SF327,lamianum,154.12,3,5.29,2.18,47.68,6.48,4.72,9.24,4.26,39.3,27.48,17.99,55.8,25.25,26.89,53.11,20.67,24.76,10
Canarium,NYBG,SF327,lamianum,139.91,3,11.57,2.07,35.54,7.83,5.43,15.98,6.73,27,18.55,11.36,55.65,22.79,31.03,48.56,24.11,26.83,10
Canarium,NYBG,D12950,longistipulatum,302.44,5,12.98,1.98,75.45,11.01,6.32,24.39,15.39,67.57,27.62,14.64,104.03,42.25,27.39,135.37,44.98,72.16,
Canarium,NYBG,LR1268,longistipulatum,204.5,5,15.03,1.57,44.75,6.15,3.53,15.33,7.05,25.67,15.08,9.89,75.12,21.75,18.46,65.14,24.69,22.24,16
Canarium,NYBG,LR1268,longistipulatum,170.01,5,10.2,1.81,31.82,5.12,4.92,14.57,9.78,28.38,15.13,8.89,61.92,21.2,16.49,67.63,28.01,23.95,16
Canarium,NYBG,D13010,longistipulatum,312.34,6,22.3,2.38,61.56,12.22,9.39,23.16,14.96,58.99,28.73,14.33,115,31.69,22.03,106.16,42.38,56,20
Canarium,NYBG,D13010,longistipulatum,298.2,5,21.67,2.53,69.78,11.51,10.94,25.73,14.65,64.57,30.51,18.63,110.51,34.67,24.64,95.53,37.73,42.78,19
Canarium,NYBG,D12984,longistipulatum,287.08,5,12.17,2.62,66.14,5.06,8.02,27.8,14.6,68.87,25.85,15.85,108.49,31.75,23.43,84.87,31.32,25.56,18
Canarium,NYBG,D12984,longistipulatum,272.68,6,11.63,2.36,60.05,6.43,6.54,29.37,13.73,56.8,27.78,13.17,85.26,31.77,23.67,83.61,28.81,22.47,18
Canarium,NYBG,D13011,longistipulatum,310.66,5,26.29,2.86,49.13,7.39,6.44,20.48,14.49,57.47,27.49,18.29,110.64,33.7,26.26,93.99,37.63,41.44,18
Canarium,NYBG,D13011,longistipulatum,227.41,4,18.09,2.8,76.29,7.06,,24.31,10.52,,,,88.18,30.77,28.78,84.35,37.54,47.98,16
Canarium,NYBG,D14477,multiflorum,552.25,6,14.44,3.39,92.01,18.06,14.06,49.55,10.75,61.61,32.83,27.81,156.11,50.12,48.95,135.79,52.47,72.35,18
Canarium,NYBG,D14477,multiflorum,544.53,7,12.89,2.8,72.73,22.81,13.08,45.09,7.87,47.05,23.54,23.96,152.46,47.91,76.71,135.54,51.34,75.91,17
Canarium,NYBG,D14477,multiflorum,392.86,5,10.45,2.59,67.38,16.26,13.35,41.43,7.64,53.93,35.74,24.96,118.71,43.65,59.78,105.99,39.41,66.26,15
Canarium,NYBG,D14478,multiflorum,365.23,4,11.86,2.53,62.82,17.85,12.97,41.76,12.38,73.68,48.27,30.63,116.92,54.9,74.26,116.25,53.95,56.8,16
Canarium,NYBG,D14478,multiflorum,392.41,4,18.02,3.54,77.36,20.92,12.78,47.02,16.78,78.35,43.41,25.21,149.35,64.23,76.87,145.8,69.73,71.94,17
Canarium,NYBG,D14478,multiflorum,289.75,4,11.81,3.34,53.44,17.78,13.06,49.78,9.18,94.11,46.32,39.39,141.67,70,45.26,131.36,58.93,86.32,16
Canarium,NYBG,D14480,multiflorum,336.76,6,11.95,1.96,52.65,10.52,8.48,17.38,10.82,89.22,38.87,29.19,129.59,38.27,55,122,35.15,59.58,18
Canarium,NYBG,D14480,multiflorum,359.23,5,18.93,1.23,65.3,14.43,7.38,28.73,9.13,97.87,56.76,41.48,134.65,50.34,54.17,109.48,48.92,58.78,19
Canarium,NYBG,D14480,multiflorum,380.66,6,19.31,2.06,66.35,13.85,8.27,28.17,9.68,52.85,38.99,26.87,145.25,47.57,39.04,123.46,36.25,64.41,18
Canarium,NYBG,D14485,multiflorum,264.12,4,9.72,2.22,46.98,11.38,9.21,24.59,9.12,,,,94.6,33.56,56.48,92.84,39.1,49.52,16
Canarium,NYBG,D14485,multiflorum,239.37,4,5.32,3.22,46.91,7.47,8.29,22.39,8.31,51.55,30.39,24.88,97.23,33.23,44.61,75.74,31.34,46.75,15
Canarium,NYBG,D14485,multiflorum,206.23,5,8.39,2.22,42.63,7.67,5.63,20.52,4.58,37.65,21.97,19.03,86.03,31.89,51.54,82.26,33.53,45.57,14
Canarium,NYBG,D14501,multiflorum,530.88,6,14.77,2.15,89.59,15,11.58,36.73,8.82,83.66,57.52,31.17,132.37,61.8,39.45,117.08,60.3,59.7,18
Canarium,NYBG,D14501,multiflorum,344.15,6,17.1,2.46,80.53,8.78,10.03,24.48,6.78,46.93,29.66,18.68,87.06,26.36,19.1,,,,17
Canarium,NYBG,D14501,multiflorum,409.64,6,16.49,2.56,179.44,11.08,9.14,28.96,7.79,68,41.3,22.41,101.03,41.03,23.93,106.34,41.71,27.39,17
Canarium,NYBG,D14513,multiflorum,349.85,6,22.09,3.44,73.58,15.89,12.62,27.67,11.68,73.32,47.72,28.45,105.58,40.84,29.03,76.95,25.46,39.64,16
Canarium,NYBG,D14513,multiflorum,380.25,5,114.74,2.23,72.49,19.67,16.11,35.11,5.65,76.33,37.49,22.95,110.6,37.39,34.22,83.15,34.76,40.48,17
Canarium,NYBG,D14513,multiflorum,324.18,5,13.72,2.78,64.54,16.56,10.6,28.73,8.3,55.59,38.05,18.42,115.39,39.92,31.79,92.27,36.28,31.35,15
Canarium,NYBG,LG6054,multinervis,410.74,5,7.18,3.64,91.33,19.18,12.09,,16.89,70.4,47.14,30.7,143.33,52.46,89.9,,,,19
Canarium,NYBG,M252,multinervis,430.25,7,1.89,2.42,64.57,11.23,7.43,21.93,4.43,54.28,44.82,22.94,137.92,59.43,77.67,124.49,46.47,67.76,19
Canarium,NYBG,SF16941,multinervis,363.91,6,1,3.75,51.72,12.13,9.52,24.74,9.07,,,,136.25,48.84,44.07,139.86,64.16,75.9,20
Canarium,NYBG,D14482,multinervis,470.51,5,5.73,5.39,82.7,12.12,11.21,18.73,5.92,76.09,62.09,39.17,159.29,75.7,83,206.56,78.71,100.95,20
Canarium,NYBG,D14482,multinervis,500.96,5,1.76,4.18,90.06,17.28,11.65,49.24,4.47,75.65,60.62,38.53,171.9,72.93,106.61,173.67,62.88,93.17,19
Canarium,NYBG,D14482,multinervis,641.81,6,2.25,2.66,120.63,19.25,11.37,24.67,6.72,69.47,52.64,45.46,196.68,72.16,114.83,196.33,81.71,122.56,22
Canarium,NYBG,D14483,multinervis,592.86,7,6.45,4.55,91.62,13.77,7.13,25.17,7.41,69.3,59.41,38.27,154.13,77.65,54.52,131.91,72.2,65.83,21
Canarium,NYBG,D13036,obtusifolium,209.15,3,14.73,2.44,49.72,8.68,6.67,20.43,0,50.72,35.86,24.59,79.92,33.98,39.53,60.18,33.41,32.42,8
Canarium,NYBG,D13036,obtusifolium,194.66,4,15.33,2.07,51.77,6.3,4.27,18.24,0,38.06,26.48,18.52,55.49,25.5,27.76,54.74,27.55,30.62,8
Canarium,NYBG,JZ7609,obtusifolium,85.59,2,10.47,1.21,25.33,4.74,4.36,10.85,0,26.24,21.06,13.64,44.69,17.36,24.62,45.49,19.41,25.17,7
Canarium,NYBG,JZ7609,obtusifolium,191.28,2,22.38,1.31,40.84,6.32,5.78,31.45,0,40.31,28.44,22.5,55.98,29.76,31.98,74.32,32.42,49.66,8
Canarium,NYBG,JZ7609,obtusifolium,171.1,2,14.23,1.22,63.46,8.81,7.13,25.05,0,47.36,33.89,26.6,78.85,33.1,44.63,83.6,38.33,48.03,10
Canarium,NYBG,GM14824,obtusifolium,120.72,3,5.77,1.71,19.56,5.46,4.78,14.84,0,29.44,14.32,15.76,44.4,14.02,29.62,51.23,15.98,35.66,10
Canarium,NYBG,GM14824,obtusifolium,93.59,3,7.43,1.22,21.27,4.12,2.53,11.42,0,14.34,10.89,8.15,32.45,15.16,20.87,45.36,18.75,32.04,9
Canarium,NYBG,SF224,obtusifolium,239.85,4,14.88,2.54,56.93,10.74,8.32,28.1,1,68.99,39.61,26.43,93.56,33.81,61.33,83.34,34.1,55.76,13
Canarium,NYBG,SF224,obtusifolium,268.07,4,18.52,2.96,58.81,7.89,6.99,26.92,2,60.33,34.04,26.82,85.45,33.4,54.19,,,,12
Canarium,NYBG,SF228,obtusifolium,176.01,4,12.26,1.44,31.2,6.27,3.64,17.67,3,30.16,17.71,18.99,55.97,21.72,32.82,48.18,23.33,34.81,10
Canarium,NYBG,SF228,obtusifolium,166.11,4,9.09,1.06,24.82,5.87,3.8,17.74,4,21.66,15.1,12.3,43.22,21.48,29.21,43.79,22.68,29.27,9
Canarium,NYBG,SF228,obtusifolium,161.63,4,7,1.32,34.75,6.24,3.95,19.28,5,25.26,17.41,15.54,46.28,22.25,28.76,43.03,24.22,31.63,9
Canarium,NYBG,PJR1108,pilicarpum,308.2,4,16.72,2.75,67.01,8.05,6.67,39.19,4.08,31.5,31.42,16.83,100.33,46.65,32.17,64.69,39.99,35.12,12
Canarium,NYBG,PJR1108,pilicarpum,304.31,5,22.86,3.55,34.67,7.83,6.17,26.15,4.03,43.56,37.58,23.52,103.35,53.12,37.15,101.72,40.58,49.55,13
Canarium,NYBG,DKH1586,pilicarpum,219.65,4,14.4,2.98,42.62,6.06,4.45,22.61,7.11,36.45,28.5,17.38,76.51,32.52,22.5,70.27,38.02,44.58,13
Canarium,NYBG,DKH1586,pilicarpum,202.84,3,16.89,2.32,41.89,4.57,5.45,19.9,7.56,58.7,35.46,29.12,83.2,38.83,27.55,74,42.37,39.89,13
Canarium,NYBG,5573,pilicarpum,287.32,4,12.29,2.47,62.04,16.42,10.69,32.13,8.83,82.36,46.78,21.86,139.32,46.03,34.76,121.67,34.73,63.12,15
Canarium,NYBG,D13052,pilicarpum,293.66,4,17.67,2.54,69.72,10.33,5.8,25.84,7.13,36.68,29.89,17.35,81.23,32.38,57.6,71.64,37.48,49.94,12
Canarium,NYBG,D13052,pilicarpum,243.77,3,15.98,2.16,72.08,11.07,7.42,24.7,7.1,41.32,32.62,24.26,78.99,35.11,55.23,71.03,46.79,47.35,13
Canarium,NYBG,TT03,pilicarpum,255.48,4,10.48,1.34,61.91,13.33,6.82,23.19,7.38,45.69,31.46,28.68,84.23,40.11,60.64,70.8,36.1,43.57,13
Canarium,NYBG,TT03,pilicarpum,240.53,4,10.02,1.65,56.86,8.34,4.98,21.99,4.07,31.56,25.77,19.11,81.68,42.79,47.69,63.7,37.33,42.2,13
Canarium,NYBG,TT03,pilicarpum,193.53,3,7.36,1.13,36.94,10.91,5.75,24.43,6.43,39.21,35.23,23.43,65.74,36.69,41.63,69.41,35.54,48.38,12
Canarium,NYBG,RR122,planifolium,247.31,4,4.68,1.77,59.7,10.85,5.33,21.09,3.98,40.93,19.15,28.53,86.8,26.78,53.49,,,,16
Canarium,NYBG,RR122,planifolium,358.92,6,8.65,1.84,79.66,29.22,6.18,29.22,5.37,62.33,28.49,19.74,100.71,32.69,59.85,83.39,36,60.17,14
Canarium,NYBG,AR1276,planifolium,296.32,7,8.07,2.1,79.82,7.26,4.88,17.41,3.96,34.71,23.75,11.38,76.19,24.85,57.88,49.36,23.83,36.8,13
Canarium,NYBG,SF21835,planifolium,171.5,3,8.57,3.56,52.32,8.21,3.33,16.65,2.26,35.15,28.2,19.2,62.34,27.66,36.31,55.38,30,26.91,12
Canarium,NYBG,SF21835,planifolium,187.76,3,7.84,2.42,62.98,7.56,4.71,19.37,1.59,31.59,18.25,18.51,63.26,25.19,43.24,60.55,29.38,40.04,13
Canarium,NYBG,SF21835,planifolium,241.12,6,6.84,2.93,78.88,6.95,,15.67,1.46,,,,65.02,32.25,43.19,58.87,29.94,34.3,12
Canarium,NYBG,SF153,planifolium,432.05,10,8.18,3.37,58.99,6.95,9.19,10.02,8.86,48.46,23.34,31.99,130.15,24.18,79.57,113.11,24.16,73.06,13
Canarium,NYBG,SF153,planifolium,624.73,10,9.76,3.76,85.94,9.71,6.54,28.4,6.21,88.32,32.3,43.87,139.95,33.41,68.47,86.11,21.23,56.91,12
Canarium,NYBG,SF153,planifolium,584.44,11,7.23,4.22,82.22,11.51,8.4,19.86,12.6,68.76,30.48,33.27,138.78,37.1,49.29,98.77,33.33,61.56,13
Canarium,NYBG,SF164,planifolium,295.18,8,6,3.26,48.82,6.27,2.82,16.82,4.19,37.15,17.56,15.28,78.98,20.89,42.3,69.66,24.5,36.45,12
Canarium,NYBG,SF164,planifolium,243.48,8,4.36,3.05,41.79,5.97,4.52,,3.46,24.88,15.36,13.41,75.09,16.6,35.71,,,,12
Canarium,NYBG,SF164,planifolium,266.28,9,5.32,2.26,39.34,4.4,3.24,8.96,4.28,21.48,9.8,9.02,68.66,17.32,36.7,54.01,22.2,28.86,13
