Indiv
Species	leaf_tot	juga	leaf_juga_ratio	stip_dist	stip_scar_length	pet_length	petiole_stip_ratio	lateral_petiolules	basal_petiolule	termil_petiolule	acumen_length	basal_lft_L	basal_lft_W	basal_L_widest_point	bl_bw_ratio	bl_wp_ratio	lateral_lft_L	lateral_lft_W	lateral_L_widest_point	ll_lw_ratio	ll_wp_ratio	termil_lft_L	termil_lft_W	termil_L_widest_point	tl_tw_ratio	tl_wp_ratio	X2o_vein_pairs
D12950	E	-0.300745427421	-0.0280041838867	-0.509359583127	-0.0627680783634	-0.901717597599	0.370691926078	-0.241860740747	-0.322855328569	-0.614478366489	-0.521665112361	2.02613473842	0.683910269699	-0.567056544098	-1.32558532921	2.13632075227	3.60148399899	-0.0550845251802	0.0449049308602	-1.23741447474	-0.298717860434	-0.298717860434	1.09959750877	0.177540868979	1.19484822611	1.29589492746	-0.0963720987002	NA
D13090	E	0.846844639125	1.0798536402	-0.514389221825	-0.245868589861	1.44017182016	0.765145338394	-0.0189387213453	1.30911201721	1.54247709111	-0.00721851938757	2.76283295034	NA	NA	NA	NA	NA	0.398808265356	-0.286735139911	-1.30890986019	0.700187728013	0.700187728013	0.41448366441	0.125510168641	-1.07822789049	0.287772121676	3.38534169269	0.631034435872
5573	F	-0.426709578464	-0.581933095931	0.124374892723	-0.135796606071	-0.333635511111	-0.244380197082	-0.351874204867	0.943851033076	0.718745869682	0.343947198424	0.336365413191	1.49115533153	1.03247284639	-0.34444410076	0.282884123189	2.2735679793	0.923405186367	0.298670005256	-0.749524668465	0.590932429277	0.590932429277	0.712383826107	-0.51507559656	0.684196931525	2.22793299319	0.0159412494091	0.355576650196
D12963	F	-1.51981515111	-1.50699437905	-0.0125430495906	-0.445903252711	-1.30749051652	-1.11584703825	-0.411223573669	-0.59680106667	-0.391765851065	-0.988022132512	-1.31991762968	-0.940950142117	-1.06795301294	-0.837732557724	0.30974552361	-0.351018977264	-1.22211858466	-1.18632561528	-0.36358198589	-0.0177756636833	-0.0177756636833	-0.942177413529	-1.20701633872	-0.515042779098	0.554068711884	-0.927490874709	-1.57262784954
D13063	F	-0.927067178441	-0.581933095931	-0.714457072225	-0.368641187166	-0.240887415358	-0.768177635298	-0.357664387189	-0.0137883419937	0.114676307298	-0.511599852933	-1.12415167127	-0.524501202173	-0.380055195731	-0.367545764034	-0.361789486927	-0.335396435856	-1.02331520603	-1.06145708661	-0.21529526051	0.0914796350532	0.0914796350532	-0.999552871617	-1.32459220702	-0.772627945393	0.687217006988	-0.635476169625	-0.883983385348
D13075	F	-0.217269184468	-1.13586200798	1.93057403377	-0.915825952739	0.30400764719	0.0106385206487	0.878539538583	0.761220541009	NA	1.26883270362	-1.1215758034	NA	NA	NA	NA	NA	0.0813328559707	0.81358485198	0.95444868479	-0.985465452492	-0.985465452492	0.453770308125	0.753932912985	0.533938917853	-0.511117648947	-0.118834768322	-0.195338921157
D13097	F	1.96510971813	1.0798536402	0.696077157974	0.363760858824	3.0400764719	1.63156684522	-0.207119646814	1.51281525836	1.01467893812	2.56389608332	1.06791188936	0.448668470071	0.957338376068	-0.6719441507	-0.737849092828	1.46119582608	1.95790366009	1.52385852582	-0.36556796882	0.153911234331	0.153911234331	0.742626062636	1.27018557608	-0.752292274369	-0.606223574021	3.00347630912	0.355576650196
SF153	F	1.73725789729	2.92443691731	-0.93129038495	-0.548566545285	1.18511455684	0.383075928557	0.238724391989	-0.702164812093	-0.0897310698729	-1.07637274304	0.43682426027	0.735215905813	-0.476060352259	1.62870972709	1.89456814848	-0.710337429651	0.839392043098	-0.67275344091	1.30398168033	2.79164630383	2.79164630383	0.0809711494165	-1.08876474704	0.724868273572	2.98878039378	-0.837640196221	-0.28623999043
SF155	F	0.249764566026	-0.304968639909	0.737990813784	-0.304079735135	0.211259551437	2.71585506233	0.629561698732	-0.367342243303	-0.507698393341	NA	0.627438482934	1.21115755146	-0.496096211012	1.01991295376	2.83471716323	0.258260137653	0.63698414017	-0.746600420232	-0.838893900279	2.46388040762	2.46388040762	NA	NA	NA	NA	NA	0.217847757358
SF160	F	-0.839925312045	0.80288918418	-1.85283196403	-1.02801470545	-0.553912238525	-1.03007635441	0.584687785735	-1.18215520791	-1.80126149663	-1.18932732107	-0.724892150827	-1.85462710865	-2.03802250759	-1.93845886665	1.19617173752	-0.366641518672	-0.949283822358	-1.36288702948	-0.907741308492	1.15281682278	1.15281682278	-1.38309226386	-1.34824252535	-1.4787276337	-0.358948168829	0.0384039190309	-0.608525599671
SF164	F	-0.585081173129	1.81657909322	-2.0841953441	-0.883016034494	0.118511455684	-1.10300436901	0.128710927869	-1.60126877304	-1.4656672953	NA	-0.912930505617	-1.48457156307	-1.68405566961	-1.6068820526	0.873834932461	-0.147925938958	-0.881075131783	-1.56495921835	-0.519150648678	2.24536981014	2.24536981014	NA	NA	NA	NA	NA	-0.37989563756
SF197	F	-0.799686763795	-0.953065467001	0.221614574202	-0.362290880408	0.524284374604	-0.457660239788	-0.262126378874	-0.786455808432	-0.773122898025	-0.10339766503	-0.930961580733	-0.794674498729	0.0298450812683	-0.262908818618	-1.30193850168	-0.757205053875	-0.772107589522	0.202668932138	0.238170841658	-1.3912708478	-1.3912708478	-0.640602961412	0.553243068823	-0.0783907318478	-1.63336756482	-0.972416213952	-0.655353423236
SF224	F	-0.704630483147	-0.581933095931	-0.341704959887	0.330950940579	-0.00901717597599	-0.43564423538	-0.574796224268	-0.718554728048	-0.205663612149	-0.172736118866	-1.55174573833	0.525081119602	0.20181953557	0.303761392274	0.282884123189	0.180147430613	-0.457682162235	-0.535129524902	0.773062243922	0.0290480357752	0.0290480357752	NA	NA	NA	NA	NA	-0.333067813995
SF228	F	-1.42142648551	-0.581933095931	-1.54378860852	-0.436377792575	-1.72485694741	-1.70202315562	-0.589271680074	-1.46546661227	-1.38329417316	-1.21057620208	-0.907778769869	-1.60191956056	-1.47534880759	-1.19376995641	-0.334928086505	-1.02278825781	-1.59504821403	-1.32663487599	-1.04742210785	-0.673307456102	-0.673307456102	-1.45459960818	-1.27999446387	-1.07935764999	-0.75839305414	-1.15211757093	-1.20626899459
SF327	F	-1.29596219221	-1.13586200798	-0.481417145921	-0.633237302046	-0.62347331034	-1.04246035689	-0.0869733636301	-0.929282218894	-0.913462291306	-1.34142457464	-0.467305363444	-0.851438181238	-0.70814238282	-0.902960783438	-0.388650887348	-0.101058314734	-1.19355966137	-0.911749119442	-0.681339254563	-0.595267957005	-0.595267957005	-1.09819343749	-1.05633002475	-1.15505153658	-0.244821058739	-0.0289840898346	-1.02171227819
